"Logisticm","Logisticb","NNSm","NNSb","NNm","NNb"
0.8625,0.95985401459854,0.825,0.95985401459854,0.95,0.945255474452555
0.85,0.970802919708029,0.85,0.981751824817518,0.9,0.930656934306569
0.8625,0.95985401459854,0.8625,0.95985401459854,0.9375,0.945255474452555
0.875,0.978102189781022,0.85,0.970802919708029,0.95,0.916058394160584
0.85,0.974452554744526,0.8625,0.981751824817518,0.95,0.948905109489051
0.7875,0.981751824817518,0.7875,0.989051094890511,0.9,0.970802919708029
0.9,0.974452554744526,0.8875,0.981751824817518,0.975,0.956204379562044
0.9,0.985401459854015,0.8875,0.981751824817518,0.9375,0.923357664233577
0.9125,0.974452554744526,0.8875,0.970802919708029,0.9375,0.941605839416058
0.8125,0.956204379562044,0.825,0.963503649635037,0.95,0.927007299270073
NA,NA,NA,NA,NA,NA
0.8625,0.974452554744526,0.8625,0.981751824817518,0.9625,0.952554744525547
0.85,0.981751824817518,0.85,0.981751824817518,0.925,0.945255474452555
0.85,0.967153284671533,0.85,0.970802919708029,0.95,0.934306569343066
0.875,0.963503649635037,0.9,0.970802919708029,0.975,0.923357664233577
0.8125,0.967153284671533,0.8,0.967153284671533,0.95,0.934306569343066
0.8625,0.963503649635037,0.8625,0.970802919708029,0.9375,0.945255474452555
0.8375,0.967153284671533,0.8125,0.985401459854015,0.95,0.91970802919708
0.7875,0.978102189781022,0.8125,0.981751824817518,0.95,0.91970802919708
0.8125,0.978102189781022,0.825,0.978102189781022,0.925,0.970802919708029
0.8125,0.970802919708029,0.85,0.970802919708029,0.9625,0.945255474452555
0.85,0.978102189781022,0.825,0.981751824817518,0.925,0.952554744525547
0.8125,0.967153284671533,0.825,0.970802919708029,0.9375,0.952554744525547
0.8125,0.970802919708029,0.8,0.970802919708029,0.95,0.945255474452555
0.875,0.948905109489051,0.8875,0.95985401459854,0.95,0.934306569343066
0.85,0.95985401459854,0.8375,0.967153284671533,0.925,0.967153284671533
0.825,0.974452554744526,0.8375,0.974452554744526,0.9125,0.945255474452555
0.85,0.956204379562044,0.8625,0.963503649635037,0.925,0.927007299270073
0.85,0.974452554744526,0.8375,0.974452554744526,0.9375,0.927007299270073
0.85,0.963503649635037,0.85,0.978102189781022,0.9,0.941605839416058
0.9,0.956204379562044,0.8875,0.963503649635037,0.9125,0.908759124087591
0.85,0.956204379562044,0.85,0.974452554744526,0.9625,0.937956204379562
0.8625,0.978102189781022,0.875,0.981751824817518,0.9375,0.941605839416058
0.8625,0.981751824817518,0.8625,0.974452554744526,0.975,0.941605839416058
0.8,0.981751824817518,0.825,0.970802919708029,0.9375,0.941605839416058
0.8875,0.967153284671533,0.85,0.963503649635037,0.8875,0.930656934306569
0.875,0.952554744525547,0.9,0.963503649635037,0.9,0.945255474452555
0.85,0.970802919708029,0.8875,0.974452554744526,0.9125,0.941605839416058
0.8625,0.978102189781022,0.825,0.981751824817518,0.9625,0.941605839416058
0.85,0.95985401459854,0.8375,0.967153284671533,0.9625,0.941605839416058
0.825,0.963503649635037,0.8375,0.974452554744526,0.9125,0.952554744525547
0.9,0.974452554744526,0.8875,0.978102189781022,0.975,0.967153284671533
0.8,0.952554744525547,0.8125,0.970802919708029,0.8875,0.941605839416058
0.825,0.978102189781022,0.8125,0.985401459854015,0.9375,0.934306569343066
0.85,0.95985401459854,0.8375,0.95985401459854,0.925,0.945255474452555
0.7875,0.952554744525547,0.8375,0.956204379562044,0.9375,0.937956204379562
0.85,0.970802919708029,0.8625,0.970802919708029,0.9375,0.930656934306569
0.825,0.967153284671533,0.85,0.974452554744526,0.9625,0.952554744525547
0.85,0.978102189781022,0.8625,0.981751824817518,0.9125,0.930656934306569
0.8625,0.970802919708029,0.85,0.981751824817518,0.95,0.956204379562044
0.9,0.95985401459854,0.8625,0.956204379562044,0.95,0.937956204379562
0.7875,0.967153284671533,0.8,0.974452554744526,0.9625,0.945255474452555
0.775,0.970802919708029,0.85,0.970802919708029,0.95,0.952554744525547
0.85,0.974452554744526,0.8375,0.974452554744526,0.925,0.930656934306569
0.8625,0.948905109489051,0.85,0.956204379562044,0.95,0.927007299270073
0.8375,0.974452554744526,0.875,0.974452554744526,0.8875,0.948905109489051
0.8625,0.967153284671533,0.8625,0.974452554744526,0.95,0.956204379562044
0.8875,0.956204379562044,0.8625,0.970802919708029,0.95,0.923357664233577
NA,NA,NA,NA,NA,NA
0.8375,0.95985401459854,0.85,0.970802919708029,0.925,0.941605839416058
0.875,0.956204379562044,0.85,0.956204379562044,0.925,0.937956204379562
0.8625,0.967153284671533,0.8625,0.974452554744526,0.9875,0.952554744525547
0.8,0.974452554744526,0.8375,0.978102189781022,0.95,0.937956204379562
0.8625,0.967153284671533,0.8625,0.967153284671533,0.925,0.952554744525547
0.8,0.963503649635037,0.825,0.970802919708029,0.8875,0.937956204379562
0.825,0.963503649635037,0.8125,0.967153284671533,0.9125,0.956204379562044
0.85,0.963503649635037,0.85,0.970802919708029,0.95,0.916058394160584
0.85,0.970802919708029,0.875,0.970802919708029,0.9625,0.963503649635037
0.7875,0.963503649635037,0.775,0.963503649635037,0.9375,0.934306569343066
0.85,0.956204379562044,0.8375,0.974452554744526,0.95,0.956204379562044
0.8,0.952554744525547,0.8125,0.963503649635037,0.925,0.945255474452555
0.7875,0.963503649635037,0.7875,0.970802919708029,0.9375,0.927007299270073
0.8625,0.970802919708029,0.875,0.970802919708029,0.975,0.952554744525547
0.8375,0.970802919708029,0.8375,0.978102189781022,0.9625,0.934306569343066
0.825,0.970802919708029,0.8,0.981751824817518,0.95,0.91970802919708
0.8625,0.970802919708029,0.8625,0.967153284671533,0.9625,0.941605839416058
0.8375,0.963503649635037,0.85,0.970802919708029,0.95,0.941605839416058
0.8375,0.956204379562044,0.825,0.978102189781022,0.9375,0.952554744525547
0.8375,0.978102189781022,0.8625,0.978102189781022,0.95,0.948905109489051
0.7875,0.95985401459854,0.8,0.95985401459854,0.925,0.948905109489051
0.875,0.963503649635037,0.875,0.978102189781022,0.9375,0.934306569343066
0.85,0.963503649635037,0.85,0.970802919708029,0.9125,0.941605839416058
0.8,0.974452554744526,0.775,0.974452554744526,0.95,0.941605839416058
0.85,0.963503649635037,0.8125,0.963503649635037,0.9125,0.930656934306569
0.85,0.963503649635037,0.8125,0.985401459854015,0.9375,0.927007299270073
0.8875,0.970802919708029,0.8875,0.95985401459854,0.9375,0.930656934306569
0.8625,0.963503649635037,0.875,0.978102189781022,0.9125,0.916058394160584
0.8625,0.963503649635037,0.875,0.974452554744526,0.9375,0.945255474452555
0.9,0.952554744525547,0.85,0.970802919708029,0.975,0.941605839416058
0.8125,0.95985401459854,0.8125,0.967153284671533,0.9375,0.952554744525547
0.875,0.967153284671533,0.8875,0.963503649635037,0.9375,0.927007299270073
0.8625,0.967153284671533,0.875,0.974452554744526,0.95,0.91970802919708
0.875,0.974452554744526,0.85,0.989051094890511,0.9375,0.930656934306569
0.875,0.956204379562044,0.875,0.970802919708029,0.95,0.927007299270073
0.8625,0.956204379562044,0.85,0.956204379562044,0.9875,0.937956204379562
0.8625,0.963503649635037,0.85,0.967153284671533,0.9375,0.963503649635037
0.8125,0.967153284671533,0.8125,0.967153284671533,0.975,0.952554744525547
0.8125,0.967153284671533,0.825,0.978102189781022,0.9125,0.934306569343066
0.8875,0.963503649635037,0.8875,0.95985401459854,0.925,0.956204379562044
0.85,0.95985401459854,0.8375,0.963503649635037,0.9625,0.916058394160584
